SalePrice,Id
116145.50926067945,1461
163793.516860344,1462
189375.6110893299,1463
204075.86441498762,1464
196561.32677104007,1465
175680.26000685352,1466
174573.69976959942,1467
171377.2679732955,1468
189432.27591116278,1469
122310.11659010556,1470
174518.48543009546,1471
102602.79848046962,1472
102500.37315697024,1473
146423.3552811985,1474
100082.50258088595,1475
354942.83760437684,1476
251414.77800189337,1477
301632.4605816157,1478
305432.1542581237,1479
436356.4455407995,1480
312439.96358037484,1481
217026.58204417818,1482
184274.95691753022,1483
169608.88724832408,1484
198884.90677288547,1485
204718.70002050576,1486
334285.307444424,1487
226318.70967694078,1488
200593.28802561568,1489
242910.77257199492,1490
204968.61217265375,1491
94584.63856497264,1492
198085.08436043642,1493
309978.51131848095,1494
283985.5558513466,1495
235952.1514191678,1496
169061.95405505633,1497
172380.69479256458,1498
167867.41373748975,1499
166070.19404438642,1500
193277.01094735565,1501
156256.56633186503,1502
277570.6899644458,1503
233556.74338198575,1504
221828.63811554163,1505
196227.4979223545,1506
240681.2698901968,1507
199542.3059302822,1508
158476.24910473565,1509
158250.8162585991,1510
157006.6302261347,1511
177278.43967359234,1512
145147.2977265366,1513
168224.14427942943,1514
193492.55874165113,1515
163656.94693531806,1516
176542.45147115187,1517
130049.17358620904,1518
219103.804005384,1519
135702.56923865288,1520
139616.69154173238,1521
187162.48847049312,1522
109989.48356471538,1523
107953.44512340116,1524
118946.26469212581,1525
105918.94459045882,1526
108138.3883546797,1527
123322.46738857232,1528
152949.02822875642,1529
203410.51488465501,1530
149677.25164060984,1531
98226.14620747598,1532
150461.07145246392,1533
122479.28829500283,1534
151777.4172446668,1535
108278.66059491836,1536
72563.92785989607,1537
164072.59558937675,1538
189703.83745566857,1539
119711.89137005532,1540
139768.90198900868,1541
135918.3998029485,1542
177271.1026497265,1543
81064.22049942474,1544
109930.39379306388,1545
145677.25657453926,1546
135323.52677732726,1547
129769.2594223375,1548
124055.60342362338,1549
146315.2497804422,1550
109721.693239408,1551
149629.3340434431,1552
155426.4996781109,1553
118323.40184384743,1554
172450.66757213336,1555
97154.38577947926,1556
110493.85594525287,1557
112447.07542304612,1558
97986.56408354823,1559
130330.45051076528,1560
134042.37603333232,1561
137552.53435188692,1562
127078.5212038585,1563
164060.41192403095,1564
165744.11985006547,1565
231263.94640394294,1566
81578.18100686619,1567
249594.90553370304,1568
152373.55396891362,1569
144970.77927955583,1570
111570.79474390579,1571
141177.87171652823,1572
257085.61952916143,1573
137877.35861541858,1574
240067.6458703631,1575
248741.65803465614,1576
188703.03449954928,1577
152740.380679536,1578
151559.3348988562,1579
193094.45972413485,1580
163091.80195542128,1581
126080.95813278915,1582
275317.6752927675,1583
224137.35762871354,1584
149073.80088532384,1585
74773.65828415731,1586
109045.29609518932,1587
160592.98314812477,1588
102183.23927934901,1589
124151.1257609294,1590
98292.00537250366,1591
128720.55955507196,1592
127562.7810059913,1593
133694.75814781772,1594
122187.14298388011,1595
221904.18920500978,1596
201509.99765703568,1597
205626.27031604064,1598
182533.920365108,1599
